userid,SEARCH,PREV,NEXT,BacktrackRate(PrevC/NextC),Readtime(seconds),LINK_CLICK,SEARCH_JUMP,PAGE_JUMP,JUMPC,OPEN,CLOSE,pc,mobile,tablet,ADD BOOKMARK,MEMOC,MARKERC
ds101,0.0,141.0,1070.0,0.13177570093457944,14878,0.0,0.0,65.0,65.0,27,3.0,1240.0,0.0,66.0,0.0,0.0,0.0
ds102,0.0,2.0,5.0,0.4,3,0.0,0.0,0.0,0.0,1,0.0,8.0,0.0,0.0,0.0,0.0,0.0
ds103,0.0,147.0,296.0,0.4966216216216216,3214,0.0,0.0,1.0,1.0,5,1.0,409.0,45.0,0.0,1.0,0.0,2.0
ds104,0.0,29.0,48.0,0.6041666666666666,1619,0.0,0.0,2.0,2.0,4,0.0,89.0,0.0,0.0,1.0,2.0,2.0
ds105,0.0,71.0,459.0,0.15468409586056645,4257,0.0,0.0,2.0,2.0,5,3.0,540.0,0.0,0.0,0.0,0.0,0.0
ds106,9.0,74.0,179.0,0.4134078212290503,1743,0.0,1.0,2.0,3.0,2,0.0,267.0,0.0,0.0,0.0,0.0,0.0
ds107,0.0,110.0,499.0,0.22044088176352705,5314,0.0,0.0,0.0,0.0,6,3.0,239.0,379.0,0.0,0.0,0.0,0.0
ds108,0.0,756.0,1186.0,0.6374367622259697,10032,0.0,0.0,0.0,0.0,8,0.0,0.0,0.0,1950.0,0.0,0.0,0.0
ds109,0.0,66.0,278.0,0.23741007194244604,3014,1.0,0.0,4.0,4.0,10,3.0,362.0,0.0,0.0,0.0,0.0,0.0
ds110,0.0,79.0,766.0,0.1031331592689295,7918,0.0,0.0,2.0,2.0,10,6.0,863.0,0.0,0.0,0.0,0.0,0.0
ds111,2.0,316.0,990.0,0.3191919191919192,13075,0.0,2.0,6.0,8.0,12,5.0,1334.0,0.0,0.0,0.0,0.0,1.0
ds112,0.0,135.0,230.0,0.5869565217391305,1484,0.0,0.0,0.0,0.0,5,2.0,377.0,0.0,0.0,0.0,3.0,2.0
ds113,0.0,418.0,1271.0,0.3288749016522423,11231,2.0,0.0,15.0,15.0,16,11.0,1712.0,25.0,0.0,1.0,0.0,2.0
ds114,0.0,146.0,682.0,0.21407624633431085,6455,0.0,0.0,8.0,8.0,13,3.0,624.0,228.0,0.0,0.0,0.0,0.0
ds115,0.0,2.0,11.0,0.18181818181818185,55,0.0,0.0,1.0,1.0,1,0.0,15.0,0.0,0.0,0.0,0.0,0.0
ds116,2.0,373.0,1263.0,0.2953285827395091,10665,0.0,1.0,6.0,7.0,14,9.0,1210.0,17.0,441.0,0.0,0.0,0.0
ds117,0.0,72.0,499.0,0.14428857715430862,5138,0.0,0.0,1.0,1.0,9,3.0,582.0,2.0,0.0,0.0,0.0,0.0
ds118,0.0,41.0,163.0,0.25153374233128833,2163,0.0,0.0,0.0,0.0,3,0.0,0.0,207.0,0.0,0.0,0.0,0.0
ds119,0.0,0.0,7.0,0.0,20,0.0,0.0,0.0,0.0,2,0.0,0.0,9.0,0.0,0.0,0.0,0.0
ds120,0.0,210.0,663.0,0.3167420814479638,7668,4.0,0.0,9.0,9.0,9,5.0,900.0,0.0,0.0,0.0,0.0,0.0
ds121,0.0,159.0,348.0,0.456896551724138,3746,0.0,0.0,15.0,15.0,4,0.0,0.0,0.0,526.0,0.0,0.0,0.0
ds122,0.0,49.0,66.0,0.7424242424242424,228,0.0,0.0,0.0,0.0,1,0.0,0.0,116.0,0.0,0.0,0.0,0.0
ds123,9.0,28.0,97.0,0.28865979381443296,1986,0.0,2.0,5.0,7.0,6,2.0,160.0,0.0,0.0,1.0,7.0,2.0
ds124,0.0,332.0,368.0,0.9021739130434784,4094,0.0,0.0,5.0,5.0,5,0.0,710.0,0.0,0.0,0.0,0.0,0.0
ds125,1.0,313.0,373.0,0.8391420911528149,1279,0.0,0.0,4.0,4.0,5,1.0,547.0,150.0,0.0,0.0,0.0,0.0
ds126,0.0,8.0,137.0,0.0583941605839416,1610,0.0,0.0,0.0,0.0,4,2.0,0.0,0.0,151.0,0.0,0.0,0.0
ds127,0.0,44.0,270.0,0.16296296296296298,3035,0.0,0.0,10.0,10.0,4,2.0,341.0,0.0,0.0,2.0,4.0,3.0
ds128,0.0,11.0,44.0,0.25,31,0.0,0.0,0.0,0.0,2,0.0,57.0,0.0,0.0,0.0,0.0,0.0
ds129,17.0,152.0,245.0,0.6204081632653061,1221,0.0,0.0,7.0,7.0,2,0.0,423.0,0.0,0.0,0.0,0.0,0.0
ds130,0.0,289.0,1381.0,0.20926864590876176,8641,0.0,0.0,0.0,0.0,17,3.0,1690.0,0.0,0.0,0.0,0.0,0.0
ds131,10.0,101.0,213.0,0.4741784037558686,1106,0.0,0.0,1.0,1.0,2,0.0,327.0,0.0,0.0,0.0,0.0,0.0
ds132,0.0,11.0,63.0,0.1746031746031746,91,0.0,0.0,0.0,0.0,2,1.0,77.0,0.0,0.0,0.0,0.0,0.0
