userid,action,operationname,markercolor,processcode,devicecode,markerposition,markertext,description,pageno,contentsid,memotext,eventtime
ds125,http://adlnet.gov/expapi/verbs/launched,OPEN,NULL,023,pc,NULL,NULL,NULL,1,9f61408e3afb633e50cdf1b20de6f466,NULL,2017-11-22 05:55:18.0000000
ds112,http://adlnet.gov/expapi/verbs/launched,OPEN,NULL,023,pc,NULL,NULL,NULL,1,9f61408e3afb633e50cdf1b20de6f466,NULL,2017-11-22 05:55:18.0000000
ds104,http://adlnet.gov/expapi/verbs/launched,OPEN,NULL,023,pc,NULL,NULL,NULL,1,9f61408e3afb633e50cdf1b20de6f466,NULL,2017-11-22 05:55:18.0000000
ds123,http://adlnet.gov/expapi/verbs/launched,OPEN,NULL,023,pc,NULL,NULL,NULL,1,9f61408e3afb633e50cdf1b20de6f466,NULL,2017-11-22 05:55:18.0000000
ds126,http://adlnet.gov/expapi/verbs/launched,OPEN,NULL,023,tablet,NULL,NULL,NULL,1,9f61408e3afb633e50cdf1b20de6f466,NULL,2017-11-22 05:55:19.0000000
ds142,http://adlnet.gov/expapi/verbs/launched,OPEN,NULL,023,pc,NULL,NULL,NULL,1,9f61408e3afb633e50cdf1b20de6f466,NULL,2017-11-22 05:55:19.0000000
ds112,https://w3id.org/xapi/adb/verbs/read,NEXT,NULL,003,pc,NULL,NULL,NULL,1,9f61408e3afb633e50cdf1b20de6f466,NULL,2017-11-22 05:55:20.0000000
ds112,https://w3id.org/xapi/adb/verbs/read,NEXT,NULL,003,pc,NULL,NULL,NULL,2,9f61408e3afb633e50cdf1b20de6f466,NULL,2017-11-22 05:55:21.0000000
ds142,https://w3id.org/xapi/adb/verbs/read,NEXT,NULL,003,pc,NULL,NULL,NULL,1,9f61408e3afb633e50cdf1b20de6f466,NULL,2017-11-22 05:55:21.0000000
ds112,https://w3id.org/xapi/adb/verbs/read,NEXT,NULL,003,pc,NULL,NULL,NULL,3,9f61408e3afb633e50cdf1b20de6f466,NULL,2017-11-22 05:55:22.0000000
ds112,https://w3id.org/xapi/adb/verbs/read,NEXT,NULL,003,pc,NULL,NULL,NULL,4,9f61408e3afb633e50cdf1b20de6f466,NULL,2017-11-22 05:55:22.0000000
ds145,http://adlnet.gov/expapi/verbs/launched,OPEN,NULL,023,pc,NULL,NULL,NULL,1,9f61408e3afb633e50cdf1b20de6f466,NULL,2017-11-22 05:55:22.0000000
ds112,https://w3id.org/xapi/adb/verbs/read,NEXT,NULL,003,pc,NULL,NULL,NULL,5,9f61408e3afb633e50cdf1b20de6f466,NULL,2017-11-22 05:55:23.0000000
ds112,https://w3id.org/xapi/adb/verbs/read,NEXT,NULL,003,pc,NULL,NULL,NULL,6,9f61408e3afb633e50cdf1b20de6f466,NULL,2017-11-22 05:55:23.0000000
ds112,https://w3id.org/xapi/adb/verbs/read,NEXT,NULL,003,pc,NULL,NULL,NULL,7,9f61408e3afb633e50cdf1b20de6f466,NULL,2017-11-22 05:55:23.0000000
ds112,https://w3id.org/xapi/adb/verbs/read,NEXT,NULL,003,pc,NULL,NULL,NULL,8,9f61408e3afb633e50cdf1b20de6f466,NULL,2017-11-22 05:55:23.0000000
ds142,https://w3id.org/xapi/adb/verbs/read,NEXT,NULL,003,pc,NULL,NULL,NULL,2,9f61408e3afb633e50cdf1b20de6f466,NULL,2017-11-22 05:55:23.0000000
ds112,https://w3id.org/xapi/adb/verbs/read,NEXT,NULL,003,pc,NULL,NULL,NULL,9,9f61408e3afb633e50cdf1b20de6f466,NULL,2017-11-22 05:55:24.0000000
