userid,score
ds101,80
ds102,80
ds103,60
ds104,50
ds105,100
ds106,85
ds107,90
ds108,100
ds109,60
ds110,75
ds111,50
ds112,100
ds113,100
ds114,60
ds115,80
ds116,100
ds117,95
ds118,100
ds119,20
ds120,90
ds121,80
ds122,60
ds123,70
ds124,100
ds125,80
ds126,75
ds127,50
ds128,100
ds129,90
ds130,95
ds131,100
ds132,80
ds133,50
ds134,100
ds135,100
ds136,60
ds137,100
ds138,10
ds139,100
ds140,40
ds141,90
ds142,90
ds143,50
ds144,80
ds145,90
ds146,100
ds147,100
ds148,80
ds149,100
ds150,100
ds151,0
ds152,100
ds153,40
