userid,bookmarkc,closec,markerc,memoc,mobilec,openc,pcc,tabletc,watchc,SEARCH,PREV,NEXT,BacktrackRate(PrevC/NextC),Readtime(seconds),LINK_CLICK,SEARCH_JUMP,JUMPC,Page_JumpC,Add_BookmarkC,Delete_BookmarkC,Add_MemoC,Delete_MemoC,Change_MemoC,Add_MarkerC,Delete_MarkerC,Readpages
ds201,0,2,0,2,0,5,371,0,371,0,80,281,0.284697509,11973,0,0,1,1,0,0,1,0,0,0,0,361
ds202,0,12,0,0,0,13,731,0,731,0,171,528,0.323863636,9046,0,0,7,7,0,0,0,0,0,0,0,699
ds203,2,23,2,0,0,26,231,0,231,0,14,160,0.0875,5524,0,0,4,4,1,1,0,0,0,1,1,174
ds204,2,6,0,0,0,9,122,0,122,0,19,84,0.226190476,2190,0,0,2,2,1,1,0,0,0,0,0,103
ds205,4,1,1,0,0,6,1068,0,1068,0,398,655,0.607633588,11675,0,0,3,3,2,1,0,0,0,1,0,1053
ds206,0,8,0,0,0,8,425,0,425,0,99,308,0.321428571,9141,0,0,2,2,0,0,0,0,0,0,0,407
ds207,2,0,0,0,0,17,734,0,734,0,239,463,0.516198704,4542,0,0,13,13,1,1,0,0,0,0,0,702
ds208,5,3,6,9,0,11,1072,0,1072,0,374,656,0.570121951,9246,0,0,8,8,2,1,4,0,0,3,3,1030
ds209,0,11,4,7,0,15,1096,0,1096,0,275,768,0.358072917,16931,0,0,16,16,0,0,3,0,4,3,1,1043
ds210,6,9,0,0,0,22,2303,0,2303,0,867,1387,0.625090123,26389,0,0,12,12,3,3,0,0,0,0,0,2254
ds211,0,12,0,4,0,12,439,0,439,0,130,279,0.465949821,5786,0,0,2,2,0,0,2,0,2,0,0,409
ds212,0,3,2,2,0,4,286,0,286,0,49,225,0.217777778,9843,0,0,1,1,0,0,1,0,0,1,1,274
ds213,0,3,4,2,0,17,3602,0,3602,0,1262,2298,0.549173194,28393,0,0,16,16,0,0,1,0,0,2,2,3560
ds214,0,5,0,0,0,5,220,0,220,0,57,153,0.37254902,818,0,0,0,0,0,0,0,0,0,0,0,210
ds215,0,6,0,2,0,7,450,0,450,0,170,265,0.641509434,9049,0,0,0,0,0,0,1,0,0,0,0,435
ds216,0,0,0,0,0,5,1299,0,1299,0,564,730,0.77260274,7842,0,0,0,0,0,0,0,0,0,0,0,1294
ds217,0,0,2,0,0,2,346,0,346,0,70,269,0.260223048,9091,0,0,3,3,0,0,0,0,0,1,1,339
ds218,0,0,0,0,0,12,939,0,939,1,185,709,0.260930889,9472,1,1,31,30,0,0,0,0,0,0,0,894
ds219,0,1,0,0,0,5,370,0,370,0,62,302,0.205298013,9686,0,0,0,0,0,0,0,0,0,0,0,364
ds220,2,4,2,3,0,8,1021,0,1021,0,315,665,0.473684211,16507,0,0,22,22,1,1,2,0,0,1,1,980
ds221,0,6,0,0,0,8,445,0,445,0,145,264,0.549242424,10292,2,0,20,20,0,0,0,0,0,0,0,409
ds222,0,0,0,0,0,3,402,0,402,0,61,325,0.187692308,11801,0,0,13,13,0,0,0,0,0,0,0,386
ds223,124,1,8,10,0,15,2041,0,2041,11,687,1157,0.59377701,20327,1,0,27,27,106,11,4,0,2,7,1,1844
ds224,0,7,0,2,0,17,456,0,456,0,85,342,0.248538012,8097,0,0,3,3,0,0,1,0,0,0,0,427
ds225,2,5,0,2,0,9,751,0,751,0,212,518,0.409266409,9245,0,0,3,3,1,1,2,0,0,0,0,730
ds226,0,5,0,0,0,6,559,0,559,0,62,486,0.127572016,11634,0,0,0,0,0,0,0,0,0,0,0,548
ds227,0,0,1,0,0,2,151,0,151,0,41,107,0.38317757,2912,0,0,0,0,0,0,0,0,0,1,0,148
ds228,4,0,6,3,627,5,77,0,704,0,171,515,0.332038835,15935,0,0,0,0,2,0,2,0,1,5,1,686
ds229,0,1,3,0,0,5,575,0,575,0,205,346,0.592485549,8757,0,0,15,15,0,0,0,0,0,3,0,551
ds230,0,2,0,0,0,3,847,0,847,0,245,596,0.411073826,9072,0,0,1,1,0,0,0,0,0,0,0,841
ds231,4,4,0,0,0,6,672,0,672,0,230,407,0.565110565,15011,0,0,21,21,2,2,0,0,0,0,0,637
ds232,0,0,0,10,0,6,546,0,546,0,87,443,0.196388262,15252,0,0,0,0,0,0,8,0,2,0,0,530
ds233,0,7,0,0,0,7,328,0,328,0,23,291,0.079037801,2417,0,0,0,0,0,0,0,0,0,0,0,314
ds234,2,3,3,8,0,6,649,0,649,0,235,387,0.607235142,17567,0,0,5,5,1,0,5,0,3,3,0,622
ds235,0,7,6,0,0,12,1224,0,1224,0,377,814,0.463144963,8270,0,0,8,8,0,0,0,0,0,3,3,1191
ds236,2,11,0,0,273,19,537,0,810,2,224,530,0.422641509,6833,0,2,22,20,1,1,0,0,0,0,0,754
ds237,0,1,0,0,0,1,9,0,9,0,0,7,0,2941,0,0,0,0,0,0,0,0,0,0,0,7
ds238,0,8,0,0,0,12,981,0,981,0,293,668,0.438622754,7442,0,0,0,0,0,0,0,0,0,0,0,961
ds239,2,0,3,2,0,8,474,0,474,0,123,335,0.367164179,1246,0,0,1,1,1,1,1,0,0,2,1,458
ds240,0,0,0,0,0,5,535,0,535,1,147,380,0.386842105,4400,0,1,2,1,0,0,0,0,0,0,0,527
ds241,0,1,0,0,0,1,321,0,321,0,87,232,0.375,9784,0,0,0,0,0,0,0,0,0,0,0,319
