userid,SEARCH,PREV,NEXT,BacktrackRate(PrevC/NextC),Readtime(seconds),LINK_CLICK,SEARCH_JUMP,PAGE_JUMP,JUMPC,OPEN,CLOSE,pc,mobile,tablet,ADD BOOKMARK,MEMOC,MARKERC
ds101,0.0,73,914,0.07986870897155361,12700,0.0,0.0,18.0,18.0,19,3.0,1011.0,0.0,16.0,0,0.0,0
ds105,0.0,54,341,0.15835777126099707,1696,0.0,0.0,0.0,0.0,4,3.0,402.0,0.0,0.0,0,0.0,0
ds107,0.0,30,341,0.08797653958944282,1515,0.0,0.0,0.0,0.0,5,3.0,0.0,379.0,0.0,0,0.0,0
ds108,0.0,752,1115,0.6744394618834081,9829,0.0,0.0,0.0,0.0,7,0.0,0.0,0.0,1874.0,0,0.0,0
ds110,0.0,79,766,0.1031331592689295,7918,0.0,0.0,2.0,2.0,10,6.0,863.0,0.0,0.0,0,0.0,0
ds111,0.0,248,514,0.4824902723735409,4038,0.0,0.0,0.0,0.0,4,1.0,767.0,0.0,0.0,0,0.0,0
ds113,0.0,215,756,0.2843915343915344,1999,0.0,0.0,0.0,0.0,8,6.0,985.0,0.0,0.0,0,0.0,0
ds114,0.0,22,371,0.05929919137466307,675,0.0,0.0,1.0,1.0,5,3.0,320.0,82.0,0.0,0,0.0,0
ds116,2.0,296,739,0.40054127198917455,3200,0.0,1.0,2.0,3.0,8,7.0,1055.0,0.0,0.0,0,0.0,0
ds117,0.0,41,397,0.10327455919395466,4921,0.0,0.0,1.0,1.0,8,3.0,448.0,2.0,0.0,0,0.0,0
ds120,0.0,105,423,0.24822695035460995,3435,4.0,0.0,5.0,5.0,6,4.0,547.0,0.0,0.0,0,0.0,0
ds130,0.0,264,1118,0.2361359570661896,8486,0.0,0.0,0.0,0.0,14,3.0,1399.0,0.0,0.0,0,0.0,0
ds134,0.0,130,421,0.3087885985748218,14341,0.0,0.0,1.0,1.0,2,1.0,556.0,0.0,0.0,0,1.0,0
ds136,0.0,34,224,0.15178571428571427,1217,0.0,0.0,2.0,2.0,5,3.0,268.0,0.0,0.0,0,0.0,0
ds138,0.0,33,396,0.08333333333333333,1446,0.0,0.0,1.0,1.0,6,4.0,440.0,0.0,0.0,0,0.0,0
ds139,0.0,259,1343,0.1928518242740134,9627,0.0,0.0,4.0,4.0,22,2.0,1153.0,477.0,0.0,0,0.0,0
ds144,2.0,38,222,0.17117117117117114,6368,0.0,1.0,1.0,2.0,2,2.0,268.0,0.0,0.0,0,0.0,0
ds149,0.0,91,650,0.14,3918,0.0,0.0,0.0,0.0,7,4.0,752.0,0.0,0.0,0,0.0,0
