userid,SEARCH,PREV,NEXT,BacktrackRate(PrevC/NextC),Readtime(seconds),LINK_CLICK,SEARCH_JUMP,PAGE_JUMP,JUMPC,OPEN,CLOSE,pc,mobile,tablet,ADD BOOKMARK,MEMOC,MARKERC
ds101,0.0,57.0,65,0.8769230769230769,273,0,0.0,8.0,8.0,1,0.0,131.0,0.0,0.0,0,0,0
ds105,0.0,17.0,118,0.1440677966101695,2561,0,0.0,2.0,2.0,1,0.0,138.0,0.0,0.0,0,0,0
ds107,0.0,80.0,158,0.5063291139240507,3799,0,0.0,0.0,0.0,1,0.0,239.0,0.0,0.0,0,0,0
ds108,0.0,4.0,71,0.056338028169014086,203,0,0.0,0.0,0.0,1,0.0,0.0,0.0,76.0,0,0,0
ds111,0.0,8.0,80,0.1,853,0,0.0,0.0,0.0,1,1.0,90.0,0.0,0.0,0,0,0
ds113,0.0,3.0,16,0.1875,67,0,0.0,4.0,4.0,2,0.0,0.0,25.0,0.0,0,0,0
ds114,0.0,29.0,112,0.25892857142857145,731,0,0.0,0.0,0.0,5,0.0,0.0,146.0,0.0,0,0,0
ds116,0.0,34.0,112,0.3035714285714285,4021,0,0.0,0.0,0.0,1,0.0,147.0,0.0,0.0,0,0,0
ds117,0.0,31.0,102,0.30392156862745096,217,0,0.0,0.0,0.0,1,0.0,134.0,0.0,0.0,0,0,0
ds119,0.0,0.0,7,0.0,20,0,0.0,0.0,0.0,2,0.0,0.0,9.0,0.0,0,0,0
ds120,0.0,102.0,179,0.5698324022346368,3942,0,0.0,0.0,0.0,2,1.0,284.0,0.0,0.0,0,0,0
ds130,0.0,24.0,112,0.21428571428571427,62,0,0.0,0.0,0.0,1,0.0,137.0,0.0,0.0,0,0,0
ds134,0.0,106.0,124,0.8548387096774194,4410,0,0.0,0.0,0.0,3,2.0,235.0,0.0,0.0,0,0,0
ds138,0.0,47.0,128,0.3671875,732,0,0.0,0.0,0.0,2,0.0,177.0,0.0,0.0,0,0,0
ds140,0.0,18.0,111,0.16216216216216214,1402,0,0.0,0.0,0.0,4,0.0,0.0,133.0,0.0,0,0,0
ds141,1.0,7.0,88,0.07954545454545454,1971,0,0.0,0.0,0.0,3,0.0,99.0,0.0,0.0,0,0,0
